product_id,ip,url
110474,37.170.17.183,https://www.glamira.fr/glamira-pendant-viktor.html?alloy=yellow-375
99316,1.129.104.252,https://www.glamira.com.au/sense-muse-4-mm.html?alloy=white_red-375&gclid=CjwKCAjwt-L2BRA_EiwAacX32XcmXGbA9nZc_T8tqYJ-booYD9ijzpEafsvYrpmhyKapPlsThjQ6shoCQ4gQAvD_BwE
108591,85.124.31.55,https://www.glamira.at/checkout/cart/configure/id/2243494/
110645,89.115.35.84,https://www.glamira.pt/glamira-ring-titina-1.0-crt.html?alloy=white-585&diamond=diamond-Brillant&gclid=EAIaIQobChMI3sr6kJvm6QIVYaVRCh1FpwtWEAEYASABEgL0zPD_BwE
90273,173.252.127.116,https://www.glamira.cz/glamira-prsten-harriet.html?fbclid=IwAR3l1p1cU7X6GN_gksIml4BGZfLg2JkU22ISyQA7SAJXBJDXVeZooX0U6Jo
90166,178.37.12.99,https://www.glamira.pl/glamira-pierscionki-cecily.html?stone2=diamond-Brillant&alloy=yellow-750&diamond=ruby&keyword=&matchtype=&gclid=EAIaIQobChMIxp-J2azj6QIVEaAYCh22TwjKEAEYASACEgLuxvD_BwE
97845,173.252.95.8,https://www.glamira.fr/glamira-ring-alonnisos.html?fbclid=IwAR1lIW4AswS31kOUnk3-9s55fAuvIaeUX5OlsmLds1q0svamnQ6jSJpiCSY
90736,195.202.216.182,https://www.glamira.ch/glamira-ring-gratia.html?alloy=red_white-585&diamond=diamond-Brillant&gclid=CjwKCAjwt-L2BRA_EiwAacX32fBRlNYvq6xyXv4jUcnrITGmXEVat8SLjc_B5i8_6qlSj1vdIKvBQhoCdbYQAvD_BwE
98083,109.140.185.202,https://www.glamira.be/fr/bague-pour-femmes-white-innocence-4-mm.html?alloy=yellow-750&stone=diamond-Brillant
84781,192.143.184.154,https://www.glamira.co.za/glamira-diamonds-ring-stella-skug100490.html?alloy=white-375&diamond=diamond-Brillant
107889,77.119.131.0,https://www.glamira.at/exotic-dream-4-mm.html?alloy=white-585&stone=diamond-Zirconia
103302,93.208.240.239,https://www.glamira.de/glamira-ring-ebonie.html?alloy=red-585&diamond=diamond-sapphire&stone2=diamond-sapphire&stone3=diamond-Brillant
84831,160.80.224.9,https://www.glamira.it/glamira-anelli-allison-skug100300.html?alloy=white-585&diamond=diamond-Brillant&stone2=diamond-Brillant
90744,213.233.108.239,https://www.glamira.ro/glamira-ring-belva.html?itm_source=recommendation&itm_medium=sorting&diamond=diamond-Brillant&alloy=white-platin
102558,31.0.41.81,https://www.glamira.pl/glamira-ring-evelina.html?alloy=white-750&diamond=diamond-sapphire
104166,185.242.189.6,https://www.glamira.sk/glamira-ring-caridad.html?alloy=white-silber&diamond=diamond-Swarovsky&stone2=diamond-Swarovsky
103126,93.194.206.86,https://www.glamira.de/glamira-ring-ebba.html?stone2=diamond-sapphire&alloy=yellow-750&diamond=diamond-sapphire&utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion
95519,89.204.153.209,https://www.glamira.de/glamira-ring-griseus.html?alloy=yellow-585&diamond=ruby&stone2=diamond-Brillant
